Word variant,Elder axis,Youth axis,Origin,Control word,Elder lower,Elder upper,Youth lower,Youth upper,Elder p value,Youth p value,Elder significance,Youth significance
ab-im,0.784759926,1.541780109,K,0,0.456184291,1.033796595,1.15679635,1.96064767,0.790492728,0.000195283,0,1
bait-im,0.192407621,1.495234989,K,0,0.041499491,0.43576147,0.96911799,2.097051879,0.005936664,0.232542821,0,0
bigijawan,0.776959873,1.68311252,K,0,0.364872597,1.26906871,1.113264755,2.29730137,0.72108011,0.002819825,0,0
bigwan,0.638076572,1.843286949,K,0,0.280652172,1.097924202,1.256303561,2.443384883,0.908750563,0.001028508,0,1
bij-ing,0.594916974,0.887666992,K,0,0.300799231,0.750598037,0.61237208,1.238955055,0.012264794,0.752140207,0,0
bijinbat,0.753538682,0.679683651,K,0,0.416347768,0.951192956,0.451779997,0.988827229,0.068996434,0.197053413,0,0
bla_mela,2.382645944,0.582659227,G,0,1.943881678,2.83126563,0.364732259,0.897016758,1.64E-11,0.562390556,1,0
bliding,0.319925936,2.355978428,K,0,0.166672509,0.523172326,1.947432443,2.725638619,0.052975464,2.63E-10,0,1
boi,0.460966575,1.97864974,K,0,0.240725547,0.658052457,1.565905538,2.385188977,0.156718483,6.87E-07,0,1
botul,0.540563966,1.594602765,K,0,0.275112177,0.712777053,1.207532397,2.01035668,0.121271035,0.000765033,0,1
canetoad,0.424652889,1.817862398,K,0,0.206407313,0.58530437,1.413797733,2.230467633,0.03658586,4.06E-05,0,1
faya,0.595412228,1.125286747,K,0,0.229512797,0.944168343,0.67665194,1.709709716,0.185387132,0.463733508,0,0
femli,0.308975124,0.548787029,K,0,0.094779905,0.608362331,0.27455933,1.018297603,0.001780521,0.028838342,1,0
fens,0.663799391,1.120659761,K,0,0.2694027,1.034106957,0.67264974,1.705491369,0.312223682,0.402092546,0,0
fut,0.476755022,1.519729704,K,0,0.229248309,0.623577338,1.141558945,1.932854572,0.025767783,0.004902905,0,0
futwok,0.407002915,1.686087388,K,0,0.189676456,0.548624977,1.292078446,2.100505536,0.012249315,0.000629426,0,1
gel-wan,0.584331065,2.038321304,K,0,0.340390159,0.849094237,1.620736133,2.444060704,0.87396159,2.62E-08,0,1
guana,1.012857356,0.899491002,K,0,0.499331686,1.480429539,0.510563233,1.454566376,0.820648772,0.618286901,0,0
hepi-wei,0.684826834,1.220096503,K,0,0.3639017,0.866553952,0.881967322,1.616588671,0.231206386,0.066071848,0,0
id-im,0.524065957,1.384518856,K,0,0.256653002,0.673764997,1.022878219,1.792166909,0.035291931,0.023351085,0,0
jaartkarra,2.988784455,0.352417882,G,0,2.608324803,3.368190901,0.194409008,0.617009842,0,0.445444398,1,0
jamana,3.24070225,0.435844707,G,0,2.916220064,3.593755628,0.239790436,0.758267364,0,0.882910936,1,0
janginyina,3.430952988,0.59832267,G,0,3.168272959,3.768070154,0.33313965,1.013293446,0,0.175837201,1,0
jangkarni,1.51030952,0.409361371,G,0,0.905016642,2.078834357,0.191507339,0.819131182,0.184485677,0.192982873,0,0
jarrakap,2.339017039,0.257718025,G,0,1.881266351,2.752617787,0.142876413,0.453490684,3.61E-08,0.015640464,1,0
jinek,0.942820864,0.696024113,K,0,0.452983563,1.390050747,0.373873075,1.199229059,0.705638175,0.617340273,0,0
jitji,2.365848937,0.52637407,G,0,1.920016855,2.805514977,0.325437994,0.82220461,8.56E-11,0.902069544,1,0
jouim,1.56888031,1.162680273,K,0,1.143289612,2.009309601,0.821280909,1.571674995,1.69E-05,0.001260358,1,1
jurlaka,1.509440961,0.655384399,G,1,0.894219879,2.080692893,0.342033681,1.160117442,0.074793174,0.998781929,0,0
juru,3.215817226,0.625540806,G,0,2.691045069,3.724698627,0.259954451,1.315423114,3.48E-12,0.358391966,1,0
juwelap,0.841804134,1.690840512,K,1,0.412714166,1.367715731,1.117095811,2.307875061,0.488012763,0.001911676,0,0
kalu,1.8915338,0.414471482,G,0,1.418964482,2.293320659,0.253278087,0.659302444,0.000103684,0.155530011,1,0
kangarnta,1.654153964,0.49606542,G,0,1.185289318,2.029497172,0.312883409,0.763172293,0.003372787,0.299913092,0,0
kankula,1.463116507,0.445118287,G,0,1.009985689,1.811558719,0.277739657,0.693628403,0.073185585,0.076256751,0,0
katurl,2.166171569,0.961751173,G,0,1.546217881,2.876684836,0.519236391,1.598850824,4.10E-06,0.06446898,1,0
kirrawa,2.293466155,0.13225936,G,0,1.653976298,2.880923924,0.039170039,0.421907737,0.000715037,0.019325545,1,0
klaimap,0.323370076,2.277744817,K,0,0.163629757,0.513175674,1.866511952,2.656521617,0.037527845,2.52E-09,0,1
kungulu,1.175106207,0.907954071,G,0,0.748029073,1.469674343,0.625387655,1.267571526,0.171977879,0.263441377,0,0
kurlpam,1.639489839,0.161638804,G,0,1.203134474,2.039813369,0.083987336,0.305222253,0.061376231,1.45E-05,0,1
kurru,2.859505362,0.555064963,G,0,2.264055701,3.434859406,0.244400058,1.135322828,2.40E-09,0.616851839,1,0
kurrurij,3.012270433,0.330053139,G,0,2.424441012,3.517956149,0.122065073,0.814433371,1.70E-09,0.557451356,1,0
laitning,0.888724987,1.220810026,K,0,0.519745612,1.129478772,0.880543022,1.620151698,0.790720087,0.019936693,0,0
lijin,0.594607014,1.199917295,K,0,0.229594725,0.946250221,0.73265103,1.792321934,0.217011681,0.311466053,0,0
likim,0.290209927,2.559744204,K,0,0.161416383,0.52312052,2.165013069,2.900495648,0.079441518,5.71E-13,0,1
long-wei,0.594607014,1.199917295,K,0,0.229594725,0.946250221,0.73265103,1.792321934,0.217011681,0.311466053,0,0
makin,1.137298016,0.297202454,K,1,0.621206523,1.667329296,0.128175469,0.649914026,0.810714136,0.019392054,0,0
malyju,2.90814358,0.987502766,G,0,2.621340296,3.421401372,0.636067839,1.445049587,0,0.000696999,1,1
mami-wan,1.012857356,0.899491002,K,0,0.499331686,1.480429539,0.510563233,1.454566376,0.820648772,0.618286901,0,0
marrinyu,3.22655133,0.394117224,G,0,2.893728108,3.575597731,0.213706441,0.697397375,0,0.842846588,1,0
mawuj,0.757090907,0.947308665,K,0,0.41306606,0.947472682,0.65930835,1.309049257,0.212133475,0.643490268,0,0
motika,0.592712652,0.775694373,K,0,0.23138615,0.944648855,0.427497194,1.298982714,0.078506969,0.490044213,0,0
murlukurn,2.823052445,0.510240402,G,0,2.434979972,3.24594609,0.303691785,0.824356833,0,0.671751651,1,0
narrinyjila,3.476474535,0.389874117,G,0,2.990846995,3.866236926,0.128157442,1.036150167,2.86E-13,0.971382251,1,0
nekstu,0.385884251,1.662317275,K,0,0.175684069,0.519780542,1.270621632,2.076502455,0.006285677,0.00120641,0,1
nes,0.293955642,2.484324656,K,0,0.108443633,0.711556215,1.892019713,2.976174602,0.237311112,2.63E-06,0,1
ngakparn,1.178172809,0.78959042,K,0,0.748786812,1.467504086,0.533880077,1.12584658,0.275439305,0.716706625,0,0
ngalyak,1.671594309,1.012793746,G,0,1.229356983,2.106189012,0.700011649,1.402555723,8.34E-06,0.010883933,1,0
