Word variant,Elder axis,Youth axis,Origin,Control word,Elder lower,Elder upper,Youth lower,Youth upper,Elder p value,Youth p value,Elder significance,Youth significance
ab-im,0.737260103,1.579155417,K,0,0.315013487,1.230384667,0.967487542,2.270694524,0.991767931,0.000113331,0,1
bait-im,0.18119264,1.538056904,K,0,0.017131301,0.835290062,0.726137532,2.520440775,0.004562554,0.183315037,0,0
bigijawan,0.72866873,1.716674384,K,0,0.211306396,1.661206576,0.834366299,2.693022446,0.867264367,0.002143664,0,0
bigwan,0.596726439,1.875445018,K,0,0.156743082,1.491812827,0.954495365,2.814896923,0.763237432,0.000763455,0,1
bij-ing,0.563100243,0.939652907,K,0,0.203357238,0.93149251,0.507233561,1.566841749,0.006803254,0.934294968,0,0
bijinbat,0.758435427,0.731720516,K,0,0.314117708,1.203384333,0.37400118,1.302599903,0.084976935,0.35146623,0,0
bla_mela,2.46708554,0.529735703,K,0,1.742648376,3.14845234,0.236672996,1.076907373,9.62E-13,0.790263384,1,0
bliding,0.295704717,2.38059889,K,0,0.102835958,0.688343743,1.700091174,2.955402203,0.026696447,1.11E-10,0,1
boi,0.429856191,2.010598325,K,0,0.156447984,0.832183154,1.339339727,2.659009184,0.091134551,3.38E-07,0,1
botul,0.507307079,1.634539686,K,0,0.182956885,0.890674043,1.016360445,2.318767493,0.072113603,0.00042835,0,1
canetoad,0.419376109,1.799400001,K,0,0.142619873,0.779617348,1.154526991,2.471624128,0.024873635,4.87E-05,0,1
faya,0.562127417,1.173809049,K,0,0.127792536,1.325931134,0.495739752,2.174376029,0.144273139,0.384763608,0,0
femli,0.294335613,0.604195616,K,0,0.045892113,0.991771227,0.195324596,1.512676902,0.00134689,0.045248369,0,0
fens,0.626593265,1.168816517,K,0,0.153070124,1.417600917,0.492314272,2.170314895,0.24879642,0.331432067,0,0
fut,0.447961098,1.56183146,K,0,0.150493874,0.794394737,0.959168906,2.246735108,0.013875027,0.002848531,0,0
futwok,0.381501353,1.725278459,K,0,0.121976907,0.713068983,1.092903718,2.40231937,0.00622528,0.000339729,0,1
