,Everybody,Old,Young,Wordname,Origin,Total
ab-im,104,36,82,Eat,K,222
bait-im,45,3,26,Bite,K,74
bigijawan,33,12,29,Big,K,74
bigwan,33,10,31,Big,K,74
bij-ing,139,27,56,Fishing,K,222
bijinbat,139,36,47,Fishing,K,222
bla_mela,79,113,30,Our,K,222
bliding,94,16,112,Bleeding,K,222
boi,102,22,98,Boy,K,222
botul,113,25,84,Bottle,K,222
canetoad,111,21,90,Frog,K,222
faya,43,9,22,Fire,K,74
femli,56,5,13,Family,K,74
fens,42,10,22,Fence,K,74
fut,119,22,81,Foot,K,222
futwok,116,19,87,Walk,K,222
gel-wan,94,28,100,Girl,K,222
guana,40,15,19,Goanna,K,74
hepi-wei,121,31,70,Happy,K,222
id-im,122,24,76,Eat,K,222
jaartkarra,66,140,16,Eat,G,222
jamana,53,152,17,Foot,G,222
janginyina,42,162,18,Lightning,G,222
jangkarni,40,25,9,Big,G,74
jarrakap,96,110,16,Talk,G,222
jinek,44,14,16,Snake,K,74
jitji,85,106,31,Nose,G,222
jouim,85,73,64,Show,K,222
jurlaka,37,23,14,Bird,G,74
juru,16,51,7,Nest,G,74
juwelap,31,14,29,Swell,K,74
kalu,108,86,28,Walk,G,222
kangarnta,110,79,33,Mouth,G,222
kankula,125,66,31,Up,G,222
katurl,24,35,15,Bite,G,74
kirrawa,36,35,3,Goanna,G,74
klaimap,97,16,109,Climb,K,222
kungulu,113,56,53,Bleeding,G,222
kurlpam,130,80,12,NextTo,G,222
kurru,21,45,8,Listen,G,74
kurrurij,22,47,5,Car,G,74
laitning,112,40,70,Lightning,K,222
lijin,42,9,23,Listen,K,74
likim,87,15,120,Lick,K,222
long-wei,42,9,23,Far,K,74
makin,49,18,7,Sleep,G,74
malyju,48,139,35,Boy,G,222
mami-wan,40,15,19,Mother,K,74
marrinyu,55,151,16,Happy,G,222
mawuj,128,36,58,Mouth,K,222
motika,49,9,16,Car,K,74
murlukurn,66,133,23,Bottle,G,222
narrinyjila,15,55,4,Turtle,G,74
nekstu,118,18,86,NextTo,K,222
nes,30,5,39,Nest,K,74
ngakparn,117,56,49,Frog,G,222
ngalyak,89,80,53,Lick,G,222
ngamayi,23,47,4,Mother,G,74
ngantipany,155,49,18,Our,G,222
nos,111,22,89,Nose,K,222
nungkiny,34,38,2,Family,G,74
ojij,118,28,76,Horse,K,222
ontop,111,24,87,Up,K,222
ors,96,26,100,Horse,K,222
partaj,101,59,62,Climb,G,222
partik,24,45,5,Fence,G,74
pleij,124,68,30,Happy,K,222
pujikat,44,8,22,Cat,K,74
tetul,34,16,24,Turtle,K,74
tok,125,44,53,Talk,K,222
wamala,36,137,49,Girl,G,222
wansaid,130,30,62,NextTo,K,222
wari,16,53,5,Snake,G,74
warlaku,48,15,11,Dog,G,74
warlu,17,52,5,Fire,G,74
wiyit,57,140,25,Show,G,222
wok,119,19,84,Walk,K,222
wuyurrunkarra,59,151,12,Fishing,G,222
yawarta,81,122,19,Horse,G,222
yikili,27,39,8,Far,G,74
